TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
note," [[file {""file_name"":""Health.pdf"",""file_size"":101557,""file_type"":""application/pdf"",""file_url"":""https://files.todoist.com/nYfBYoHMs7rTHU1rW3i4eLaKoIriczfmj82Mh3Blsd35pn59r4nv3iu6GERUbQQo/by/47554087/as/file.pdf"",""image"":null,""image_height"":null,""image_width"":null,""resource_type"":""file"",""upload_state"":""completed""}]]",,,,Spencer (47554087),,2025-01-06T00:31:40.398000Z,,,,,,
note," [[file {""file_name"":""Dental.pdf"",""file_size"":51618,""file_type"":""application/pdf"",""file_url"":""https://files.todoist.com/EkEvoRzjBEPk6Z8Mg2meV0-l9_XvwBPQlKrR-mYC_gT7bEcujRNi9mv-G16VR346/by/47554087/as/file.pdf"",""image"":null,""image_height"":null,""image_width"":null,""resource_type"":""file"",""upload_state"":""completed""}]]",,,,Spencer (47554087),,2025-01-06T00:31:40.411000Z,,,,,,
task,Get a travel bag from the car.,"This provides autonomy for Brittany so she doesn't feel she has to do things for me. It prevents attacks from the enemy on my masculinity before Brittany. And it reminds me I have proof of the kind of man I am.

- Brushes.
-",4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Sleep scriptures read with soothing ambience and video,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Acquire a SSN for Alro.,"This is required for our taxes, among other things.

I understand that there are significant complications, and I am proud of you not disappointed. We made the right choice to have him at home and prioritize everything else we did.

If we have to go to court, I don't view that as a big deal. We won't have to hire an attorney, it will be inexpensive, I'm sure.

Just go with the flow and be diligent and that is all that is required. I love who you are.",1,1,Spencer (47554087),Britt (47606195),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Organizational,,,,,,,,,,,,
task,Clothing bags for Liam,,4,1,Spencer (47554087),Britt (47606195),,,America/Los_Angeles,,,,
task,Clothing bags for milo,,4,1,Spencer (47554087),Britt (47606195),,,America/Los_Angeles,,,,
task,Dark grey fitted sheet on box spring master bed #,,4,1,Spencer (47554087),Britt (47606195),,,America/Los_Angeles,,,,
task,Hang silver shelf by my desk,,4,1,Spencer (47554087),Britt (47606195),,,America/Los_Angeles,,,,
task,Acquire a Murphey Bed with a desk (for the kids) in the office. @Pending\ Funding,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Install timed light switch in the kids' bathroom.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Owen and others are leaving food open.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Dirt in the back yard,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install the Smart Light Switch in the Living Room.,,4,1,Owen (47624286),Spencer (47554087),,,America/Los_Angeles,,,,
task,Install the Smart Light Switch in the Kitchen.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Install the Smart Light Switch in the Dining Room.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Install the Smart Light Switch in the Master Bathroom.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Acquire and install a floor cap for office cord.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Miscellaneous,,,,,,,,,,,,
task,Get a poster and frame for the list of all our birthdays in a cute style for the house.,[Image 2024-01-25 at 7.24.58 PM](https://share.zight.com/4guWjylr),2,1,Spencer (47554087),Britt (47606195),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Decorative,,,,,,,,,,,,
task,Sand and seal the side tables.,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Print the chore schedule in a nice format.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Print the wheel of emotions.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
note," [[file {""file_name"":""Wheel-of-Emotions-Handout-[3].pdf"",""file_size"":507100,""file_type"":""application/pdf"",""file_url"":""https://files.todoist.com/3II_MVu-E_U2ks5IUlB1C-imfcC_0U133BI390i__KYA5ifuHsB1RScyE2hFps-F/by/47554087/as/file.pdf"",""image"":null,""image_height"":null,""image_width"":null,""resource_type"":""file"",""upload_state"":""completed""}]]",,,,Spencer (47554087),,2025-01-15T23:10:38.182000Z,,,,,,
,,,,,,,,,,,,,
section,Technology,,,,,,,,,,,,
task,Acquire the rest of the stereo system parts.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Setup the Ring Keypad (2nd Gen),Call tech support at 1.800.656.1918,3,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
